event_id,event_name,event_type,venue_id,date,time,duration,capacity,base_price,total_price,categories
E001,Summer Wedding,Wedding,V001,6/15/2023,18:00,5,200,50000,275000,"Music System,Catering,Lighting"
E002,Tech Conference,Conference,V002,7/20/2023,9:00,8,500,200000,370000,"AV Equipment,WiFi,Catering"
E003,Charity Gala,Gala,V003,8/10/2023,19:00,4,150,75000,215000,"Decorations,Catering"
E004,Product Launch,Corporate,V004,9/5/2023,17:00,3,300,120000,280000,"AV Equipment,Lighting,Catering"
E005,Cultural Night,Festival,V005,10/12/2023,20:00,6,400,90000,260000,"Music System,Decorations,Food Stalls"
E006,Art Exhibition,Exhibition,V006,11/18/2023,11:00,7,250,60000,195000,"AV Equipment,Decorations"
E007,Winter Wedding,Wedding,V007,12/22/2023,17:00,5,180,55000,265000,"Music System,Catering,Lighting"
E008,Startup Pitch Day,Conference,V008,1/10/2024,10:00,4,150,70000,190000,"AV Equipment,WiFi"
E009,Fundraising Dinner,Gala,V009,2/14/2024,19:00,3,100,50000,155000,"Catering,Decorations,Music System"
E010,Wedding,Wedding,V006,08/09/2025,5.00 PM,,,,500000,20000
